Horizon,RMSE,MAE,NRMSE,Skill
h=1,8.002278308190519,4.914564737926981,1.017600777099732,-12.095660370018804
h=6,8.254389260220023,5.132502720492495,1.0218409804846122,-2.8443398944105405
