Horizon,RMSE,MAE,NRMSE,Skill
h=1,8.623017287850377,5.727400857142682,1.0965363556625822,-13.111494429143853
h=6,8.822017978063647,5.912202512063134,1.0921098116854673,-3.108703211480613
