name,h1_rmse,h1_skill,h1_nrmse,h6_rmse,h6_skill,vpt,fsdh,time_s
ESN500_rad0.5_leak1.0_inp0.1_ridge1.0,0.6590513540065045,-0.07853193379146517,0.08380752882578732,2.39560164682899,-0.11571028354613766,2,0,9.026721000671387
ESN500_rad0.9_leak1.0_inp0.1_ridge1.0,0.7386529395744206,-0.20879925134345068,0.09392997548568092,2.6897727848710136,-0.2527154339100979,2,0,9.306119441986084
ESN500_rad0.9_leak1.0_inp0.1_ridge0.0001,1.0770122347215467,-0.7625213591774713,0.1369570570767097,3.827794965259772,-0.7827297003654645,1,0,9.327009916305542
ESN500_rad1.5_leak1.0_inp0.1_ridge0.0001,1.2559428299912616,-1.0553397560406679,0.15971056623759658,3.9436578802073377,-0.8366908611702009,1,0,9.21926212310791
ESN500_rad1.5_leak1.0_inp0.1_ridge1.0,1.2564138697493454,-1.0561106085972862,0.15977046548196308,3.9434162805259176,-0.836578340271988,1,0,9.24238920211792
ESN500_rad1.5_leak0.3_inp0.1_ridge1.0,1.3343621645684023,-1.183672329904538,0.1696826732716228,5.864464945072949,-1.7312737304946424,1,0,9.522038698196411
ESN500_rad1.5_leak0.3_inp0.1_ridge0.0001,1.3410027811253487,-1.1945396424033152,0.17052711985402344,5.9536629877336535,-1.7728161854351234,1,0,9.641437292098999
ESN500_rad0.9_leak0.3_inp0.1_ridge1.0,1.3968016626458386,-1.2858540372889995,0.17762272225745768,6.673702602156648,-2.1081622574482717,1,0,9.160856008529663
ESN500_rad0.5_leak0.3_inp0.1_ridge1.0,1.5835240688919712,-1.5914236665243706,0.2013670683524339,6.216986138575065,-1.8954544160768583,1,0,9.172888994216919
ESN500_rad0.5_leak1.0_inp1.0_ridge0.0001,1.9529950013117847,-2.1960597040653003,0.2483504265244868,6.559292416737171,-2.054877680446959,1,0,9.02470850944519
ESN500_rad0.5_leak1.0_inp1.0_ridge1.0,1.955862875413364,-2.200752955633396,0.2487151165292576,6.561395536047617,-2.055857172110481,1,0,9.126620054244995
ESN500_rad0.9_leak1.0_inp1.0_ridge0.0001,2.0092587908583726,-2.288134916980375,0.2555051484374429,6.092579331047758,-1.8375140841835775,1,0,9.264405012130737
ESN500_rad0.9_leak1.0_inp1.0_ridge1.0,2.01082105078833,-2.290691542064443,0.2557038114753341,6.093877302981763,-1.8381185922980383,1,0,9.592084407806396
ESN500_rad0.5_leak1.0_inp0.1_ridge0.0001,2.03561212890877,-2.331261930492398,0.2588563412161054,4.637526396815005,-1.159848194290594,1,0,9.119769096374512
ESN500_rad1.5_leak1.0_inp1.0_ridge0.0001,2.0781827401821684,-2.4009283736614533,0.2642697854184999,5.591428884270666,-1.6041118790160103,1,0,9.249616622924805
ESN500_rad1.5_leak1.0_inp1.0_ridge1.0,2.0787562651055187,-2.4018669423191126,0.2643427170743622,5.591726050466937,-1.6042502790632551,1,0,9.16543197631836
ESN500_rad1.5_leak0.3_inp1.0_ridge1.0,2.1075625543928447,-2.449008189661288,0.26800583665546196,7.001389841053823,-2.2607769556007633,1,0,9.05393362045288
ESN500_rad1.5_leak0.3_inp1.0_ridge0.0001,2.109358479214074,-2.4519472053519613,0.26823421342808995,7.012710731767077,-2.2660494658298322,1,0,9.221431732177734
ESN500_rad0.5_leak0.3_inp1.0_ridge1.0,2.157413556661457,-2.530588930754308,0.27434508364163823,6.84419196932927,-2.1875647492780605,1,0,9.253212213516235
ESN500_rad0.5_leak0.3_inp1.0_ridge0.0001,2.1594209124692547,-2.5338739514557,0.2746003467993617,6.85406510299193,-2.1921629915496155,1,0,9.287763833999634
ESN500_rad0.9_leak0.3_inp1.0_ridge1.0,2.201144150835592,-2.6021536760715813,0.27990603577311873,7.2185257601157735,-2.3619042770589598,1,0,9.218196868896484
ESN500_rad0.9_leak0.3_inp1.0_ridge0.0001,2.209215026291514,-2.615361595090256,0.2809323596298403,7.239131750650847,-2.3715011629072675,1,0,9.38951063156128
ESN500_rad0.9_leak0.3_inp0.1_ridge0.0001,4.098429310736563,-5.707044698633152,0.5211721825802003,19.630311202095836,-8.142479972152367,0,0,9.206264019012451
ESN500_rad0.5_leak0.3_inp0.1_ridge0.0001,5.582872420834051,-8.136323219045781,0.7099397315480289,39.63986828248486,-17.461587192396788,0,0,9.663397789001465
