name,h1_rmse,h1_skill,h1_nrmse,h6_rmse,h6_skill,vpt,fsdh,time_s
ESN500_rad0.5_leak1.0_inp0.1_ridge1.0,0.07768939307230718,0.8168005688765619,0.011163269738172475,0.16667783786597445,0.9333033835429985,2,2,7.149286508560181
ESN500_rad0.5_leak1.0_inp1.0_ridge1.0,0.1608504999863461,0.6206982841789876,0.023112775732412657,0.2302656131132155,0.9078585522965702,2,2,7.30364203453064
ESN500_rad0.5_leak1.0_inp0.1_ridge0.0001,0.16348653154638587,0.614482255669494,0.02349154985046596,0.8660968290123648,0.6534288615759922,2,2,7.063081979751587
ESN500_rad0.5_leak1.0_inp1.0_ridge0.0001,0.17469428262582495,0.5880532472717153,0.025102003266437748,0.22489245523132897,0.910008636884896,2,2,7.362345933914185
ESN500_rad0.9_leak1.0_inp0.1_ridge1.0,0.18389543087297577,0.5663560109064938,0.026424125833263035,0.8811720584276814,0.6473964651447213,2,2,7.256676197052002
ESN500_rad1.5_leak1.0_inp1.0_ridge1.0,0.20934543231602376,0.5063423384851164,0.03008106302520635,0.6517734565788526,0.7391909757957806,2,2,7.086321830749512
ESN500_rad0.9_leak1.0_inp1.0_ridge1.0,0.21678978335569996,0.4887878072728242,0.031150749573075297,0.40649743016199774,0.8373388835768779,2,2,7.22223424911499
ESN500_rad0.9_leak1.0_inp1.0_ridge0.0001,0.2626884921980596,0.3805540186345924,0.03774598281121143,0.6132739785893062,0.7545966527000388,2,2,7.14028263092041
ESN500_rad0.9_leak1.0_inp0.1_ridge0.0001,0.26718697664694496,0.3699461382102157,0.03839237472302804,1.3757075175819455,0.44950667808064015,2,2,7.2356390953063965
ESN500_rad1.5_leak1.0_inp1.0_ridge0.0001,0.3140002162920136,0.2595557936230244,0.04511901784391362,1.4680540530452622,0.4125539461770602,2,2,7.205568313598633
ESN500_rad0.5_leak0.3_inp1.0_ridge0.0001,0.5380383372240406,-0.2687487107835318,0.07731128858632745,0.7715372479679485,0.6912671500371461,2,2,7.007060766220093
ESN500_rad0.9_leak0.3_inp1.0_ridge0.0001,0.5629679935398025,-0.32753535686917834,0.08089345684543289,0.7548667616337792,0.6979378931150342,2,2,7.283823728561401
ESN500_rad0.9_leak0.3_inp1.0_ridge1.0,0.6342486012735077,-0.4956222252373459,0.09113584154898716,1.149440612808793,0.5400480311350437,2,2,7.148762464523315
ESN500_rad0.5_leak0.3_inp1.0_ridge1.0,0.6391097881908131,-0.5070853946948055,0.09183435055593805,0.9128120617115775,0.6347356267828679,2,2,7.082036018371582
ESN500_rad1.5_leak0.3_inp1.0_ridge1.0,0.7225412457120151,-0.7038251934142754,0.10382270351026236,1.2068282106713546,0.5170842187108291,2,2,7.070391416549683
ESN500_rad0.5_leak0.3_inp0.1_ridge1.0,0.8681889246444384,-1.0472771225603181,0.12475097006459261,1.820163638060073,0.27165628249695706,2,2,7.321134567260742
ESN500_rad0.5_leak0.3_inp0.1_ridge0.0001,0.8813666480315288,-1.0783515245159374,0.1266444908515062,6.702345547537168,-1.6819628576285597,1,0,7.479445695877075
ESN500_rad1.5_leak1.0_inp0.1_ridge1.0,0.9914135610014517,-1.3378532538474635,0.14245724629668086,1.604991348489544,0.35775809335198083,2,2,7.3088157176971436
ESN500_rad1.5_leak1.0_inp0.1_ridge0.0001,1.003697559617623,-1.3668201625773224,0.14422234684120472,1.6395598877829025,0.343925392878737,2,2,6.939101457595825
ESN500_rad1.5_leak0.3_inp1.0_ridge0.0001,1.0561415211596703,-1.4904883177837926,0.15175807425108848,3.48813095197822,-0.39578563793800825,1,0,6.97455096244812
ESN500_rad1.5_leak0.3_inp0.1_ridge0.0001,1.070159906462415,-1.5235450853960941,0.15377239062349882,3.507763003337098,-0.4036414597827822,1,0,7.160329341888428
ESN500_rad1.5_leak0.3_inp0.1_ridge1.0,1.1295253467489783,-1.663534786162176,0.1623026725170319,2.626381188351665,-0.05095399023732017,2,0,7.19279146194458
ESN500_rad0.9_leak0.3_inp0.1_ridge1.0,1.306521453450537,-2.080909472415803,0.18773542728030937,3.2056855119826273,-0.28276428235405326,1,0,7.211806774139404
ESN500_rad0.9_leak0.3_inp0.1_ridge0.0001,1.4008751173685687,-2.3034049363475066,0.20129320343800874,7.7394198562375,-2.0969511265573604,1,0,7.044226884841919
